,Question,Answer,Solution,url
2,"3) Statement: Due to repeated crop failures, the villagers are facing financial problems and migrating to urban areas.
Courses of action; 
I. The government should provide villagers alternate source of income so that their income is not affected by crop failure.
II. The government should provide jobs to the migrated villagers.

A. Only I follows 
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows
E. Both I and II follow


",A,"Migration to urban areas is not a solution, i.e., it will increase the burden on the city?s infrastructure. So, the villagers should have some alternate source of income so that they can continue earning even if their crop fails.
",https://www.javatpoint.com/course-of-action-1
3,"4) Statement: The sale of the product of a company has decreased significantly; the company is worried about the future of the product. 
Courses of action;
I. The company should analyze the rival products available in the market.
II. The price of the product should be reduced, and its quality should be improved. 

A. Only I follows 
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows
E. Both I and II follow


",A,"By analyzing the rival products, the company can understand why people are not buying its product. Lowering the price and improving the quality is not the right solution.
",https://www.javatpoint.com/course-of-action-1
4,"5) Statement: The education minister discussed the importance of flexibility in the education system and regretted that the curriculum had not been revised to match the changing needs of students and the education system. 
Courses of action:
I. The education system should be made more flexible.
II. The curriculum should be revised periodically.

A. Only I follows 
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows
E. Both I and II follow


",E,"The situation demands that the education system should be more flexible and should be revised periodically.
",https://www.javatpoint.com/course-of-action-1
0,"6) Statement: The police received a complaint of an officer for taking a bribe to perform his routine work of signing applications of the people.
Courses of action: 
I. The police should plan to catch the officer red-handed and take necessary action against him. 
II. The police should take action after receiving a few more complaints to be sure about the bribery. 

A. Only I follows 
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",A,"One complaint is enough to take action against the corrupt officer. So, police can arrest him or plan to catch him red-handed.
",https://www.javatpoint.com/course-of-action-2
1,"7) Statement: The demand for local fruits is decreased due to the availability of imported fruits in the local market. 
Courses of action;
I. The fruit vendors should not sell imported fruits to increase the demand for local fruits.
II. The import duty on imported fruits should be increased to promote the local fruits. 

A. Only I follows 
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",D,"Both the courses of action are unfair means to cut the competition. The solution is to educate the local producers about new methods and techniques to produce better quality fruits.
",https://www.javatpoint.com/course-of-action-2
2,"8) Statement: This year the majority of the students of many schools do not pass the board exam.
Courses of action: 
I. Such schools are not productive, so they should be closed down. 
II. The faculty of these schools should be changed immediately. 

A. Only I follows 
B. Only II follows 
C. Either I or II follows
D. Neither I nor II follows
E. Both I and II follow


",D,"In such a situation, the harsh measures (I, II) will not improve the performance of the students.
",https://www.javatpoint.com/course-of-action-2
3,"9) Statement: The Finance Minister resigned from his post a week before the new budget is to be presented in the Parliament. 
Courses of action; 
I. The resignation should not be accepted.
II. A more experienced person should be appointed as the Finance Minister. 

A. Only I follows
B. Only II follows
C. Either I or II follows 
D. Neither I nor II follows
E. Both I and II follow


",A,"An already working Finance Minister would have a better understanding of the resources and plans of the government. So, he can present the budget in a better way.
",https://www.javatpoint.com/course-of-action-2
4,"10) Statement: The water level of the lakes is decreased significantly in the past few months. These lakes supply water to the city. 
Courses of action;
I. The water board should impose a partial cut in the water supply. 
II. The water board should encourage people not to waste water and reduce water consumption. 

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows
E. Both I and II follow


",E,"The water level of the lakes can be improved by imposing periodic partial cuts in the water supply and encouraging people to reduce the water consumption.
",https://www.javatpoint.com/course-of-action-2
0,"11) Statement: The condition of NH-5 is too bad because of heavy transportation.
Courses of action;
I. The government should repair it immediately.
II. The government should tell the people to use an alternate road.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",A,"As the condition of the road is very bad, so the priority should be to repair the road immediately. Using an alternate road is not the permanent solution.
",https://www.javatpoint.com/course-of-action-3
1,"12) Statement: Tom found that some products are missing from his showroom. 
Courses of action; 
I. Tom should call the police for investigation.
II. Tom should verify all the products with the products' list.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",B,"Calling police should not be the immediate response; first Tom should verify the products with the products' list then should take appropriate action.
",https://www.javatpoint.com/course-of-action-3
2,"13) Statement: Mrs. X is diagnosed with lung cancer. 
Courses of action;
I. She should be taken to abroad for best overseas medical treatment. 
II. Find the best hospital and best doctor in the city and start the treatment immediately.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",C,"Both the options are suitable, Mrs. X may fly to abroad for best overseas treatment or may find a best doctor and hospital in her city.
",https://www.javatpoint.com/course-of-action-3
3,"14) Statement: Peter often misbehaves with seniors and fellow students.
Courses of action;
I. He should be rusticated from the college.
II. He should be punished physically.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",D,"There should be some other way to change the habit of this student like counseling. Punishing physically or rusticating from the school is not a permanent solution.
",https://www.javatpoint.com/course-of-action-3
4,"15) Statement; Every citizen of a country should pay tax to the Government.
Courses of action;
I. The government should aware and educate people about income tax.
II. The government should take strict action against income tax fraudulent.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",E,"The government should educate people about the income tax as well as should take appropriate action against those who are not paying the taxes.
",https://www.javatpoint.com/course-of-action-3
0,"16) Statement: A large population in the eastern part of the city is diagnosed with the fatal type of malaria.
Courses of action:
I. The city administration should educate people about the benefits of a balanced diet and clean drinking water.
II. The city administration should take immediate steps like extensive fumigation in the affected area.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",B,"Educating people about the benefits of a healthy diet and clean water will not make any difference; extensive fumigation seems appropriate preventive measure against malaria.
",https://www.javatpoint.com/course-of-action-4
1,"17) Statement: Since its launch in 1951, the Airking airline has so far accumulated losses accounting to Rs 200 crore. 
Courses of action;
I. Ariking airline should be directed to reduce unnecessary expenditure and to hike airfare.
II. An aid of Rs. 250 crore should be provided to Airking airline to make the airline economically viable.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",A,"To recover losses and for economic gain, the airline should reduce expenditure and increase the fare. Getting financial aid is not the permanent solution.
",https://www.javatpoint.com/course-of-action-4
2,"18) Statement: The footpaths of busy roads in the city are crowded with vendors selling cheap fruits and vegetables. 
I. An FIR should be filed against them, and the police should immediately drive them away.
II. These vendors should be provided some space where they can place their stalls and earn their bread-and-butter without obstructing the footpath.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",B,"It is not a big issue for which an FIR should be filed. There should be an appropriate way to handle this issue as suggested in the II option.
",https://www.javatpoint.com/course-of-action-4
3,"19) Statement: Few serious mistakes were found in the Accounts section of a company.
Courses of action;
I. A team of experienced auditors should be assigned the task to check the Accounts.
II. A show cause notice should be issued to all the employees who are responsible for these mistakes.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",E,"Clearly, the situation demands that the mistakes should be rectified as well as the employees, who are responsible, should be issued show cause notice and interrogated so that they take their work seriously.
",https://www.javatpoint.com/course-of-action-4
4,"20) Statement: Most of the medical and engineering graduates have applied for the jobs in administrative services and call centers. 
Courses of action;
I. All such professionals should be advised to stop applying for such jobs.
II. The government should take initiatives to find out the reasons for these professionals applying to such jobs and suggest remedial measures.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both I and II follow


",B,"We cannot ask someone to not to apply for a job. It would be an infringement of the right to freedom of a candidate. The government should find out the reasons and suggest appropriate remedial measures.
",https://www.javatpoint.com/course-of-action-4
