,Question,Answer,Solution,url
2,"23) Danger leads to

A. Fear
B. Enemy
C. Help 
D. Attack


",A,"One always feels fear in case of danger.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-5
3,"24) A cupboard always has

A. Lock
B. Clothes
C. Door
D. Shelf


",D,"A cupboard always has a shelf.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-5
4,"25) A chocolate always has

A. Milk
B. Cocoa beans 
C. Wrapper
D. Nuts


",B,"Cocoa beans are the main ingredient of chocolate.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-5
0,"1) What is Geeta's rank in the class? 
I. There are 30 students in the class.
II. There are 10 students who scored less than Geeta.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed


",E,"From statements I and II, we conclude that out of 30 students 10 students scored less than Geeta. It means, 19 students scored more than Geeta. So, Geeta's rank in the class is 20th. Thus, both the statements are needed to answer the question.
",https://www.javatpoint.com/data-sufficiency-1
1,"2) Who is the mother of B? 
I. P and Q are sisters.
II. Q's husband is the brother of B's husband.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",D,"Statement (I) is not sufficient and statement II concludes that Q is the sister-in-law of B. So, even from both the statements, we cannot get the answer.
",https://www.javatpoint.com/data-sufficiency-1
2,"3) It is 6:00 pm, when can Deepak get next bus from Noida to Delhi?
I. Buses for Delhi leave after every 30 minutes, until 11 pm. 
II. 20 minutes ago, a bus has left for Delhi. 

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient 
C. Either I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",E,"It is 6:00 pm and 20 minutes ago a bus had left for Delhi, so at 5:40 pm the bus had left. After every 30 minutes a bus leaves for Delhi, so Deepak will get the next bus at 6:10 pm. So, both I and II are needed to answer the question.
",https://www.javatpoint.com/data-sufficiency-1
3,"4) When is Rahul's birthday this year?
I. It is between March 8 and 10, March 8 being the Wednesday.
II. It is not on Friday.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",A,"From statement I, we can conclude that Rahul's birthday is on March 9 which is Thursday. Statement II is not sufficient.
",https://www.javatpoint.com/data-sufficiency-1
4,"5) On which day of the week did Sohan reach Mumbai?
I. Sohan left Delhi by train on Wednesday.
II. Sohan stayed in Jaipur for one day and completed his journey in two days.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed


",E,"The statement I shows that Sohan started his journey on Wednesday. The statement II shows that he completed his journey in two days. So, from both the statements, we conclude that Sohan reached Mumbai on Friday (Wednesday+2). Thus, both I and II are needed to answer the question.
",https://www.javatpoint.com/data-sufficiency-1
0,"6) How many brothers does Rahul have? 
I. Rahul's father has three children.
II. Rahul has one sister.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed


",E,"From both the statements, we conclude that Rahul's father has three children and Rahul has one sister. It means Rahul has one brother. Thus, both I and II are needed to answer the question.
",https://www.javatpoint.com/data-sufficiency-2
1,"7) Deepak, Rahul, Manoj, and Kapil are brothers. Who is the heaviest?
I. Rahul is heavier than Deepak and Kapil, but lighter than Manoj.
II. Deepak is lighter than Rahul and Manoj, but heavier than Kapil.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed


",A,"From statement I alone, we conclude that Manoj is the heaviest. Statement II alone is not sufficient.
",https://www.javatpoint.com/data-sufficiency-2
2,"8) Sohan ranks fifth in the class. How many students are there in the class?
I. His friend ranks 52th which is the last rank in the class.
II. Sohan's rank from the last is 48th.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed


",C,"The statement I shows that 52 is the last rank in the class. It means there are 52 students in the class.
Statement II shows that Sohan ranks 48 from the last and it is also given that Sohan ranks fifth in the class. It means, there are (5+48-1) = 52 students in the class. Thus, either I or II is sufficient.
",https://www.javatpoint.com/data-sufficiency-2
3,"9) At what time did Rahul leave home for office?
I. Rahul had his breakfast at 9:20 am at home.
II. Rahul reached office at 10:20 am, 30 minutes after he left home.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",B,"The statement I alone is not sufficient. The statement II reveals that Rahul left home 30 minutes before 10:20 am, i.e., at 9:50 am. So, statement II alone is sufficient.
",https://www.javatpoint.com/data-sufficiency-2
4,"10) When is Deepak's birthday?
I. Deepak's mother was born on 22 May 1970.
II. Deepak is 28 years younger than his father.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either Statement I or II is sufficient
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",D,"Even from both the statements together we cannot find Deepak's birthday. So, Neither I nor II is sufficient.
",https://www.javatpoint.com/data-sufficiency-2
0,"11) How many students are there in the row facing north?
I. Ram is eight from the left end is sixth to the left of Raja who is eleventh from the right end
II. Ramesh is fifth to the left of Neeli who is tenth from the right end and fifteenth from the left end

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either Statement I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed


",C,"From statement I: 8 + 6 +11 - 1 = 24
From statement II: 10 + 15 - 1 = 24
",https://www.javatpoint.com/data-sufficiency-3
1,"12) What is Tom's rank in the class?
I. There are 45 students in the class.
II. 42 students scored less than Tom.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either Statement I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",E,"Total students = 45
42 students scored less, and then 2 students would have scored more than Tom which means Tom is at the third position. Thus, we need data of both statements to get the answer.
",https://www.javatpoint.com/data-sufficiency-3
2,"13) Who is the father of Geeta?
I. X and Y are sisters
II. Y's husband is brother of Geeta's husband

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either Statement I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",D,"We cannot predict who is father of Geeta even from both the statements taken together.
",https://www.javatpoint.com/data-sufficiency-3
3,"14) Which day of the last week did Tony meet Jack, at Jack's home?
I. Jack was out of town from Monday to Thursday. He returned on Friday morning.
II. On Saturday night Tony telephoned his friend to inform that only yesterday he had got the approval of Jack after personally explaining to him all the details.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either Statement I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",B,"Statement II reveals that Tony met his friend Jack on the day prior to Saturday, i.e., Friday. So, only II is needed.
",https://www.javatpoint.com/data-sufficiency-3
4,"15) What is the monthly salary of Raman?
I. Raman gets 20% more than Suresh while Suresh gets 10% less than Rahul.
II. Rahul's monthly salary is Rs. 15000.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either Statement I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",E,"Raman's salary = 120% of (90% of Rs. 15000) = 16200. So, both are required.
",https://www.javatpoint.com/data-sufficiency-3
0,"16) How many visitors saw the trade fair yesterday?
I. Each entry pass holder is allowed to take up to three persons with him or her.
class=""pq""II. In all, 250 entry passes were sold yesterday.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either Statement I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed


",D,"As per both the statements, a maximum of 250 * 4 = 1000 people can visit the trade fair, but the exact number cannot be predicted.
",https://www.javatpoint.com/data-sufficiency-4
1,"17) What is the total sale of the company?
I. The company sold 7000 units of product A, each unit's cost is Rs. 25.
II. The company has no other product line.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either Statement I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",E,"From statement I and II, it is clear that the company sells only one product and it has sold 7000 units. As each unit costs Rs. 25, the total sale of the company = 7000 * 25 = Rs. 1,75,000.
",https://www.javatpoint.com/data-sufficiency-4
2,"18) What is the total weight of 10 boxes each has the same weight?
I. One-fourth of the weight of a box is 5 kg. 
II. The total weight of the three boxes is 20 kilometers more than the total weight of the two boxes.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either Statement I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",C,"From statement I, it is clear that weight of one box = 5 * 4 = 20 kg. So, the total weight of 10 boxes is 20 * 10 = 200 kg. Thus, alone I is sufficient.
From statement II, the weight of one box = weight of three boxes - weight of two boxes = 20 kg. So, weight of 10 boxes = 10 * 20 = 200 kg. Thus, alone II is also sufficient.
",https://www.javatpoint.com/data-sufficiency-4
3,"19) What is the amount of sugar exported from India?
I. India exported to Russia 70,000 tonnes of sugar, and this is 10% of the total sugar exports.
II. India's total export tonnage of sugar is 10% of the total production of 7 million tonnes.

A. Statement I alone is sufficient, but statement II alone is not sufficient
B. Statement II alone is sufficient, but statement I alone is not sufficient
C. Either Statement I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",C,"From statement I, 10 % = 70000
100% (total exports sugar) = 70000 * 100 / 10 = 700000 tonnes 
From statement II, the total export tonnage of sugar is 10% of the total production of 7 million tonnes.
10/100 * 7000000 = 7000000 tonnes
",https://www.javatpoint.com/data-sufficiency-4
4,"20) How much amount Suresh has to pay for the new car in the buy-back schema?
I. The cost of the new car was four times the resale value his old car.
II. His old car is valued at Rs. 35000 under this schema. 

A. Statement I alone is sufficient, but statement II alone is not sufficient 
B. Statement II alone is sufficient, but statement I alone is not sufficient 
C. Either Statement I or II is sufficient 
D. Data in both the statements together are not sufficient 
E. Both I and II are needed 


",E,"From both the statements, the price of the new car is 35000 * 4 = 140000, so he has to pay, 140000 - 35000 = Rs. 105000
",https://www.javatpoint.com/data-sufficiency-4
